video_id,stability,power,technique,balance,overall,notes,filming_date,player_level
kick_001,99,95,100,95,97,very good curved player,1/1/2025,advanced
kick_002,95,100,100,94,96,unique shooting style/powerful and curved,1/1/2025,advanced
kick_003,90,92,94,90,92,very decent curve and trajectory,1/1/2025,advanced
kick_004,91,90,90,89,89,decent curve,1/1/2025,advanced
kick_005,95,90,99,90,95,very very good curve and power,1/1/2025,advanced
kick_006,85,99,81,80,85,strong but not that stable,1/1/2025,advanced
kick_007,96,91,100,94,95,unbelievable trajectory,1/1/2025,advanced
kick_008,80,95,82,85,84,not stable as excellent but very strong,1/1/2025,advanced
kick_009,91,100,88,91,92,low-driven shooting; powerfull,1/1/2025,advanced
kick_010,95,100,88,87,90,powerfull shooting; decent tecnique,1/1/2025,advanced
kick_011,94,97,100,91,94,true knuckleball; very good trajectory,1/1/2025,advanced
kick_012,100,82,85,90,89,"this shoot was saved, not enough power",1/1/2025,advanced
kick_013,100,88,90,81,82,good shoot but trajectory very bad,1/1/2025,advanced
kick_014,90,100,95,91,94,very powerfull shooting ,1/1/2025,advanced
kick_015,90,81,82,89,85,"good potentil, knuckleball; not enough power",1/1/2025,advanced
kick_016,90,95,95,81,91,good shot but not in the corner,1/1/2025,advanced
kick_017,87,92,96,94,94,knukleball; very good shoting,1/1/2025,advanced
kick_018,100,100,90,88,94,no chance for GK; powerfull knuckleball,1/1/2025,advanced
kick_019,100,100,100,100,100,ideal knuckleball,1/1/2025,advanced
kick_020,100,90,99,94,95,very good knuckleball,1/1/2025,advanced
kick_021,91,95,88,88,89,good shoot but in the middle,1/1/2025,advanced
kick_022,95,95,95,85,91,powerfull shoot; no chance for GK,1/1/2025,advanced
kick_023,92,97,94,94,93,very good curve at the end,1/1/2025,advanced
kick_024,91,84,99,90,92,over the wall; good trajectory,1/1/2025,advanced
kick_025,91,94,86,88,90,good penalty; no chance for GK,1/1/2025,advanced
kick_026,94,81,90,91,91,very good shoot right at the corner,1/1/2025,advanced
kick_027,94,91,90,88,87,it was saved by Gk; needs better trajectory,1/1/2025,advanced
kick_028,88,91,88,80,84,powerful shoot but ot was saved by GK,1/1/2025,advanced
kick_029,90,80,100,90,90,beatiful curve+over the wall,1/1/2025,advanced
kick_030,95,85,100,90,92,over the wall; good trajectory,1/1/2025,advanced
kick_031,82,95,83,88,87,powerfull shot; trajectory can be improved,1/1/2025,advanced
kick_032,100,99,90,99,97,high quality knuckleball,1/1/2025,advanced
kick_033,86,87,88,85,87,trajectory can be better,1/1/2025,advanced
kick_034,86,90,87,83,85,good shoot with power,1/1/2025,advanced
kick_035,92,99,96,95,98,high quality knuckleball,1/1/2025,advanced
kick_036,98,100,92,94,92,high quality knuckleball but trajectory can be better,1/1/2025,advanced
kick_037,100,100,90,91,100,no chance for GK; powerfull knuckleball,1/1/2025,advanced
kick_038,90,80,85,85,86,we need beter trajectory with more power,1/1/2025,advanced
kick_039,90,86,91,99,92,high quality free kick over the wall,1/1/2025,advanced
kick_040,90,84,95,99,94,high quality free kick over the wall,1/1/2025,advanced
kick_041,68,64,72,70,70,good curve; not enough power,2/1/2025,amateur
kick_042,65,64,73,66,71,medium quailty knuckleball;not enough power,2/1/2025,amateur
kick_043,69,66,66,62,70,trajectory needs to be improved,2/1/2025,amateur
kick_044,62,62,64,66,65,medium quality low driven shoot,2/1/2025,amateur
kick_045,77,80,80,80,80,very good shoot ,2/1/2025,amateur
